Timesteps 200000
Temperature, Kinetic, Potential, Total Energy, Pressure

1.00 0.991201 1.486802 -4.148567 -2.661765 0.507978
1.1 1.093268 1.639903 -4.082563 -2.442660 0.843315
1.2 1.226363 1.839545 -3.998026 -2.158482 1.269412
1.3 1.265973 1.898960 -3.972939 -2.073979 1.398101
1.4 1.412038 2.118057 -3.886340 -1.768283 1.844849
1.5 1.474654 2.211980 -3.849449 -1.637468 2.036545
1.6 1.556466 2.334699 -3.799110 -1.464411 2.289788
1.7 1.685185 2.527778 -3.726441 -1.198663 2.666423
1.8 1.800318 2.700477 -3.664752 -0.964275 2.988193
1.9 1.853375 2.780063 -3.633206 -0.853143 3.148884
2 2.029888 3.044832 -3.538170 -0.493338 3.641777
2.1 2.133586 3.200379 -3.483655 -0.283276 3.925005
2.2 2.306219 3.459328 -3.392618 0.066710 4.396411
2.3 2.286263 3.429395 -3.405669 0.023726 4.332226
2.4 2.402373 3.603560 -3.344414 0.259146 4.645117
2.5 2.468070 3.702106 -3.310670 0.391435 4.819608

Timesteps 100000
Temperature, Kinetic, Potential, Total Energy, Pressure

1.00 0.991774 1.487660 -4.149408 -2.661747 0.504763
1.05 1.099931 1.649896 -4.079771 -2.429875 0.857975
1.1 1.092936 1.639404 -4.081606 -2.442202 0.843735
1.15 1.133472 1.700208 -4.058333 -2.358125 0.966793
1.2 1.226199 1.839299 -3.997948 -2.158649 1.269134
1.25 1.215377 1.823065 -4.004224 -2.181158 1.234753
1.3 1.266013 1.899019 -3.972982 -2.073963 1.398388
1.35 1.389894 2.084841 -3.897886 -1.813044 1.780916
1.4 1.410991 2.116487 -3.885122 -1.768635 1.848710
1.45 1.433437 2.150156 -3.872888 -1.722732 1.915757
1.5 1.474690 2.212035 -3.849573 -1.637538 2.035019
1.55 1.601484 2.402225 -3.773218 -1.370993 2.425916
1.6 1.557200 2.335800 -3.799993 -1.464193 2.291142
1.65 1.683120 2.524680 -3.728590 -1.203910 2.655311
1.7 1.685612 2.528418 -3.727030 -1.198612 2.666729
1.75 1.746069 2.619103 -3.692641 -1.073538 2.841183
1.8 1.799605 2.699407 -3.664250 -0.964842 2.988785
1.85 1.900576 2.850864 -3.608344 -0.757480 3.279631
1.9 1.853627 2.780441 -3.633748 -0.853307 3.145146
1.95 1.959815 2.939722 -3.575532 -0.635810 3.446514
2 2.030755 3.046133 -3.538828 -0.492695 3.643191
2.05 2.063665 3.095497 -3.520637 -0.425139 3.733332
2.1 2.133021 3.199531 -3.482563 -0.283032 3.925286
2.15 2.185671 3.278507 -3.454738 -0.176231 4.068720
2.2 2.305490 3.458236 -3.391960 0.066276 4.397495
2.25 2.260924 3.391386 -3.415419 -0.024033 4.274322
2.3 2.286949 3.430424 -3.405741 0.024683 4.332214
2.35 2.362568 3.543853 -3.365672 0.178180 4.535868
2.4 2.402277 3.603416 -3.343603 0.259813 4.645833
2.45 2.426793 3.640189 -3.329772 0.310418 4.719343
2.5 2.467819 3.701728 -3.310232 0.391496 4.817678
Timesteps 500000
Temperature, Kinetic, Potential, Total Energy, Pressure

1.00 0.991940 1.487909 -4.149041 -2.661132 0.506435
1.1 1.093140 1.639709 -4.082490 -2.442780 0.840052
1.2 1.226568 1.839852 -3.998127 -2.158275 1.270222
1.3 1.265812 1.898718 -3.973396 -2.074678 1.394896
1.4 1.412656 2.118984 -3.885797 -1.766813 1.846946
1.5 1.474076 2.211114 -3.849301 -1.638187 2.036093
1.6 1.557408 2.336111 -3.799842 -1.463731 2.287474
1.7 1.685350 2.528024 -3.726896 -1.198872 2.665187
1.8 1.800600 2.700900 -3.663470 -0.962570 2.995233
1.9 1.854014 2.781021 -3.633617 -0.852596 3.144980
2 2.029590 3.044384 -3.538002 -0.493618 3.641527
2.1 2.133345 3.200018 -3.483078 -0.283060 3.927274
2.2 2.306325 3.459487 -3.392144 0.067343 4.397327
2.3 2.284919 3.427378 -3.404625 0.022753 4.334825
2.4 2.401833 3.602750 -3.344224 0.258526 4.647530
2.5 2.467865 3.701797 -3.310587 0.391210 4.819282
